username,user_url,title,view_num,created_at,video_url,shortdesc,collected_at
VICE,/user/vice,What Really Happened at Standing Rock | I Was There,703K,703K views,/watch?v=J1yD2J8vHAk,"In 2016, indigenous water protectors and their allies gathered at Standing Rock to oppose the construction of the Dakota Access ...",2021-04-14 02:28:00.076738
Taboo,/channel/UC5aqukzSeAj9etVpQpct88A,Stand Up / Stand N Rock #NoDAPL (Official Video),2.8M,2.8M views,/watch?v=Onyk7guvHK8,"Hip Hop Caucus, creator of People's Climate Music, has partnered with Taboo, solo Hip Hop artist and member of the Grammy ...",2021-04-14 02:28:00.077736
TED,/user/TEDtalksDirector,The Standing Rock resistance and our fight for indigenous rights | Tara Houska,111K,111K views,/watch?v=wD3-6JIUF7M,"Still invisible and often an afterthought, indigenous peoples are uniting to protect the world's water, lands and history -- while ...",2021-04-14 02:28:00.078734
Vox,/user/voxdotcom,"The fight over the Dakota Access Pipeline, explained",396K,396K views,/watch?v=qJZ1-LAFOTo,How Native Americans and environmentalists stopped a $3.8 billion oil pipeline. Subscribe to our channel! http://goo.gl/0bsAjO ...,2021-04-14 02:28:00.079731
Cray Novick,/channel/UCrFazgm3d1cNLGqVXNHHT5g,Water Protectors -- Standing Rock 2020,2.2K,2.2K views,/watch?v=ply14OGxq5Q,"Mni Wconi -- water is life. This film is a rallying cry for us all to be called as water protectors, as protectors of life on planet earth.",2021-04-14 02:28:00.079731
ABC News,/user/ABCNews,The Seventh Generation: Youth at the Heart of the Standing Rock Protests | ABC News,66K,66K views,/watch?v=1Rz_TkpysKk,"For months, the International Indigenous Youth Council has helped steer the Standing Rock Sioux Tribe's opposition to the ...",2021-04-14 02:28:00.080728
Prolific The Rapper,/user/prolificmusicmv,Prolific The Rapper x A Tribe Called Red - Black Snakes [Updated],1.4M,1.4M views,/watch?v=QdeHUrL1FEM,My Response to Trump ✊✊✊✊✊ Our Existence is Our Resistance. [Filmed At Standing Rock] SUBSCRIBE! Free DL ...,2021-04-14 02:28:00.081725
Yolanda Pushetonequa,/channel/UCmOES9NqszZi5PKdaoTLPhQ,Standing Rock by Trevor Hall with footage #NoDAPL #StandingRock,320K,320K views,/watch?v=dyzzEnRR8f8,New video with footage. Pulled from Buzzfeed. Original youtube video without footage was originally uploaded 8-31-16 and its ...,2021-04-14 02:28:00.082722
Jukin Media,/user/JukinMedia,This is Happening | Dakota Access Pipeline protests,25K,25K views,/watch?v=cQZF7V6uEsI,This Episode takes a fresh look at the impassioned events at Standing Rock — the longest running protest in modern history ...,2021-04-14 02:28:00.083720
FUSION,/user/thisisfusion,The Naked Truth: Mark Ruffalo Speaks on Standing Rock & #NoDAPL,109K,109K views,/watch?v=P-nnzizoGQ4,"Sioux water protectors won a major victory over the the DAPL oil pipeline project at Standing Rock. Braving water cannons, dogs, ...",2021-04-14 02:28:00.083720
PBS NewsHour,/user/PBSNewsHour,"Tribes across North America converge at Standing Rock, hoping to be heard",90K,90K views,/watch?v=9-EQ7BuhQq4,Protestors of the North Dakota pipeline celebrated after the Department of Justice temporarily halted the project in federal ...,2021-04-14 02:28:00.085715
Democracy Now!,/user/democracynow,Remembering LaDonna Brave Bull Allard: Standing Rock Elder Helped Lead 2016 Anti-DAPL Uprising,4.1K,4.1K views,/watch?v=0L_xBJb_stQ,"LaDonna Brave Bull Allard, Standing Rock Sioux tribal historian, has died of cancer at the age of 64, and we look back on her ...",2021-04-14 02:28:00.086711
Living on a Higher Vibration,/user/FUbuilderburg,STAND UP/ STAND N ROCK: SHAILENE WOODLEY + TABOO (HIP HOP CAUCUS--PEOPLES CLIMATE MUSIC),34K,34K views,/watch?v=q2O1NKL24qY,"Hip Hop Caucus, creator of People's Climate Music, has partnered with Taboo, solo Hip Hop artist and member of the Grammy ...",2021-04-14 02:28:00.086711
Shadowproof,/channel/UC_98en_oHyT3wDP8mn9DQaA,"In Defense Of Standing Rock Movement: Lawsuit Against TigerSwan, Morton County Moves Closer To Trial",168,168 views,/watch?v=Qba1RidSiH4,"Bernard Harcourt, a Columbia Law School professor, and Noah Smith-Drelich, an assistant professor at Chicago-Kent School of ...",2021-04-14 02:28:00.087709
Reveal,/user/theifilestv,One Year at Standing Rock,34K,34K views,/watch?v=Yb9HHtye1Tk,Jasilyn Charger was one of the first people to set up camp at the Standing Rock Sioux Reservation in April 2016. Along with youth ...,2021-04-14 02:28:00.088706
Vogue,/user/Americanvogue,Stories From Standing Rock | Vogue,62K,62K views,/watch?v=QFjnudxcfv0,"In North Dakota, thousands of Native Americans and allies have joined the Standing Rock Sioux Tribe in a fight to stop the Dakota ...",2021-04-14 02:28:00.088706
Mr. Catfysh,/user/zxeros,Trevor Hall - Standing Rock,256K,256K views,/watch?v=KskC6Qd1DOk,A video and picture compilation set to Trevor Hall's song Standing Rock. #NODAPL.,2021-04-14 02:28:00.089704
JRE Clips,/channel/UCnxGkOGNMqQEUMvroOWps6Q,Dr. Cornel West On His Experiences at Standing Rock,39K,39K views,/watch?v=eKy-QC6g1nw,Taken from Joe Rogan Experience #1325 w/Dr. Cornel West: https://youtu.be/ViWvAnvT17c.,2021-04-14 02:28:00.090701
