name, frequency, lat, lng
seattle, 649, 47.603570, -122.329450
washington, 222, 38.890370, -77.031960
france, 45, 46.559417, 2.550540
new york, 45, 40.714550, -74.007140
san francisco, 35, 37.777120, -122.419640
rome, 25, 41.903220, 12.495650
vatican, 23, 41.902250, 12.453300
california, 22, 36.374106, -119.270230
hollywood, 20, 26.010670, -80.160260
king county, 17, 47.490118, -121.804332
tacoma, 17, 47.255130, -122.441640
oregon, 16, 43.938780, -120.558561
united states, 15, 39.398703, -99.414619
vietnam, 12, 16.166670, 107.833330
chicago, 11, 41.884250, -87.632450
los angeles, 10, 34.053490, -118.245320
america, 9, 39.398703, -99.414619
new york city, 8, 40.714550, -74.007140
olympia, 7, 47.039560, -122.891660
idaho, 7, 44.388995, -114.659447
london, 6, 51.506420, -0.127210
lesbian city, 6, 19.457090, 109.453090
new jersey, 6, 39.613348, -74.728565
pittsburgh, 6, 40.438510, -79.997340
philadelphia, 5, 39.952220, -75.162180
russia, 5, 61.989526, 96.805372
cuba, 5, 22.000000, -79.500000
washington dc, 5, 38.890370, -77.031960
seattle, 4, 47.603570, -122.329450
canada, 4, 60.108670, -113.642580
vancouver, 4, 49.260380, -123.113360
lover, 4, 46.248140, 11.024010
renton hills, 4, -30.966670, 135.083330
renton, 4, 47.475320, -122.204870
renton hill, 4, -30.966670, 135.083330
sirico, 4, -13.343610, 39.976390
florida, 4, 28.566045, -81.688649
miami, 4, 25.774810, -80.197730
texas, 3, 31.462733, -99.333050
georgia, 3, 32.648325, -83.444534
moscow, 3, 55.756960, 37.615020
wilhelmina, 3, 27.943700, -82.451600
paris, 3, 48.857170, 2.341400
discrimina, 3, 20.641000, -103.308150
montana, 3, 47.033499, -109.645068
barton, 3, 42.041520, -76.446190
thou, 3, 47.425040, 2.661050
gay city, 3, 51.464850, 58.443570
ellensburg, 3, 46.997030, -120.548720
dade county, 3, 34.854552, -85.504436
dignitys, 3, 51.508980, -0.590220
portland, 3, 45.511790, -122.675630
queen city, 3, 33.148650, -94.152660
alaska, 2, 64.808088, -151.004158
collinss, 2, 8.128982, 2.208592
kansas, 2, 38.484727, -98.380171
nevada, 2, 39.356482, -116.655436
scity, 2, 32.210195, 130.401640
horseshoe, 2, 29.519400, -83.253470
new city, 2, 41.148270, -74.009830
st louis, 2, 38.627750, -90.199560
stonewall, 2, 50.137650, -97.322410
commu, 2, 47.454060, 0.325390
berlin, 2, 52.516040, 13.376910
houston, 2, 29.760580, -95.369680
broadway, 2, 52.040400, -1.855770
missouri, 2, 38.367983, -92.477747
dallas, 2, 32.778220, -96.795120
bingo, 2, 12.251560, -1.889300
varietyvaudeville, 2, 30.273330, -98.869770
virginia, 2, 37.512821, -78.697949
springfield, 2, 37.208970, -93.291590
northwest fountain, 2, 17.757450, -64.829610
iowa, 2, 42.074698, -93.499972
alan, 2, 53.666670, 106.050000
tina, 2, 45.416670, 7.933330
seattleke county, 2, 47.587070, -122.488290
district columbia, 1, 38.904771, -77.016322
san juans, 1, 33.219130, -92.665510
san franciscos, 1, 37.777120, -122.419640
tripletshad, 1, 45.762780, 21.248050
sena, 1, -17.450900, 35.032350
hong kong, 1, 22.364637, 114.133395
knittel, 1, 42.720310, -92.258290
stairway, 1, -7.629610, 109.569080
garfield county, 1, 36.379070, -97.782714
massachusetts, 1, 42.358670, -71.718185
west young, 1, 55.865960, -3.980980
alberte, 1, 50.735000, 4.235880
egypt, 1, 26.512273, 29.870495
tennessee, 1, 35.843003, -86.343051
layton, 1, 41.065970, -111.961050
kindre, 1, 46.648960, -97.010770
northcity, 1, 38.001600, -89.066330
herbert, 1, 29.589400, -95.593830
sanity, 1, 41.429810, -81.391290
evanss, 1, 13.148080, 123.754220
west seattle, 1, 47.571230, -122.385140
