id, x, y, freq, label
0, -16.501867, -2.845892, 4022, gay
1, -14.957551, -1.220164, 4288, seattle
2, -11.742501, -13.891954, 52, atkins
3, -35.688423, -29.441549, 50, pm
4, -9.419138, -11.483130, 44, page
5, -4.516468, -8.678156, 170, stories
6, 12.039680, -23.280088, 106, exile
7, -20.495827, -67.068924, 46, belonging
8, -17.903738, -51.034214, 36, gary
9, -27.347012, -52.506725, 26, l
10, -14.639865, -23.005796, 498, university
11, -14.620301, -23.255880, 772, washington
12, -13.699571, -21.605942, 186, press
13, -30.485783, 20.305231, 14, london
14, 42.932552, -39.746201, 6, iii
15, -7.075644, -14.276832, 1218, new
16, -7.671556, -25.543491, 76, introduction
17, -7.961018, -42.097519, 30, author
18, -40.700340, -37.011921, 16, contents
19, 5.324085, -15.083972, 102, list
20, -50.393398, -32.928555, 16, illustrations
21, -64.181702, 3.130658, 12, vii
22, -46.921776, 45.617069, 12, acknowledgments
23, 15.491808, 58.125629, 10, ix
24, 11.269406, -9.830499, 286, part
25, 19.814308, -9.125306, 1606, one
26, 10.795222, -37.386944, 64, imagining
27, -68.778137, -19.072865, 24, prologue
28, -12.598197, -24.292255, 534, law
29, -12.411730, -24.253881, 284, sodomy
30, 12.261558, -5.083995, 172, mudflat
31, -9.786435, -23.620888, 174, mental
32, -9.688159, -23.207811, 338, health
33, -9.171150, -32.230320, 86, psychiatric
34, -25.739744, -66.977257, 36, pick
35, 21.065905, -10.856487, 868, two
36, 13.423093, -10.912367, 104, creating
37, 10.923664, -36.276459, 74, refuges
38, 10.720568, -23.216110, 82, saloons
39, 4.460240, -19.003216, 116, vaudeville
40, -46.122784, 47.323765, 18, stirrings
41, -20.880844, -56.945461, 44, resistance
42, -0.670308, -12.742019, 254, dance
43, -40.704231, 29.836851, 22, enemy
44, -61.978046, -32.983871, 40, crossing
45, -65.862099, -10.734016, 28, challenging
46, -6.767814, -4.105222, 808, police
47, 21.251274, -12.385789, 366, three
48, 17.244604, -3.074742, 284, claiming
49, 17.243750, -3.072420, 318, civic
50, 17.247808, -3.071832, 486, life
51, -2.619306, -6.454268, 178, robert
52, 12.285274, -43.093182, 116, rules
53, -17.379612, -44.865211, 102, liberation
54, -17.726828, -69.061516, 40, chautauquas
55, 12.259027, -43.085907, 60, feminism
56, 12.251121, -43.091316, 62, lesbianism
57, -18.592319, -60.049843, 40, pulpits
58, 1.252996, -36.932171, 58, healing
59, -9.610256, -24.794670, 114, v
60, -12.815568, -13.380445, 956, first
61, -7.783270, -26.345533, 74, paperback
62, -7.628283, -25.708725, 98, edition
63, -38.668133, -31.706347, 32, printed
64, -60.663296, 17.660076, 8, bound
65, -6.430588, -26.154007, 84, united
66, -9.825965, -32.541912, 158, states
67, -19.615692, -60.846718, 28, america
68, -59.676006, -20.665289, 16, designed
69, -15.871331, -11.690224, 508, rights
70, 50.399342, -14.054321, 6, reserved
71, -44.080669, -1.110056, 18, publication
72, -13.657265, -2.588903, 434, may
73, -56.310226, -1.868634, 12, transmitted
74, 5.273789, -36.313084, 64, form
75, -30.489088, -58.780491, 30, means
76, -19.668150, 39.425732, 12, includ
77, 14.769113, -6.794985, 398, ing
78, 6.680488, -12.428103, 160, information
79, 1.439928, -28.154207, 96, system
80, 8.736690, -19.151064, 114, without
81, 1.374194, 59.167965, 14, permission
82, -26.304092, -55.522564, 48, writing
83, 0.014723, -30.253117, 60, box
84, 18.060020, 27.994066, 4, wa
85, 34.650478, 9.696940, 6, usa
86, -8.637186, -41.799896, 0, www
87, -58.969570, -0.371005, 6, edu
88, -47.168095, 19.679062, 14, library
89, -48.352146, -11.012125, 12, congress
90, 32.963367, 37.027737, 6, data
91, -9.587337, -6.513378, 120, pages
92, 35.133533, 45.098442, 12, references
93, 1.930502, -26.759401, 38, index
94, -5.244463, -39.666271, 74, paper
95, -1.127284, -9.401717, 0, gays
96, -14.112690, -23.994141, 812, state
97, 10.930965, -8.175483, 242, social
98, -28.589066, 43.891781, 18, conditions
99, -16.032604, -3.669760, 270, history
100, -13.275258, -12.983024, 104, movement
101, -11.669793, -3.381310, 1000, aids
102, 1.095510, -14.533885, 106, disease
103, -53.208466, 41.854492, 18, title
104, -12.511057, -23.576813, 8, u
105, 7.569249, -6.659113, 228, used
106, 7.212155, -30.753271, 78, free
107, -22.394880, 32.851898, 14, meets
108, 65.690674, 0.236816, 6, minimum
109, 3.166036, -7.853337, 206, american
110, -2.373434, -8.184673, 150, national
111, 0.977047, -14.799667, 84, leg
112, -45.483418, -32.192745, 24, confronting
113, -31.877874, -42.415977, 32, crackdown
114, -48.581436, -5.091465, 30, insiders
115, -0.820799, -9.822108, 1196, city
116, -1.843701, -12.170344, 130, hall
117, 0.949431, -20.036514, 100, rhetoric
118, 6.821362, -41.894859, 70, privacy
119, -5.796072, -19.059605, 258, capitol
120, -31.201042, -49.742748, 34, limited
121, 12.297894, -43.075485, 80, conversation
122, 0.190842, -9.562799, 280, initiative
123, 0.349472, -9.620540, 172, thirteen
124, 7.098930, -18.215452, 106, coming
125, 14.373194, -8.314541, 180, together
126, -52.827442, -15.351828, 20, learning
127, -50.794254, -7.607271, 22, persuade
128, -4.868229, -7.149693, 154, broadway
129, 2.603257, 49.272125, 10, markets
130, -54.793694, 6.351122, 18, parades
131, -5.144887, -19.540546, 326, catholic
132, -5.861375, -18.958475, 468, hill
133, -44.473846, 26.784822, 18, clash
134, 1.118433, -53.461273, 40, dogma
135, -8.636467, -13.108659, 90, ministry
136, -11.049961, -23.776220, 148, hospital
137, 33.609501, 41.384064, 10, plague
138, -4.628455, 58.110432, 12, arrives
139, 1.733319, -22.226265, 94, becoming
140, 8.467951, -42.696419, 58, compassion
141, 7.656718, -3.781270, 240, cal
142, -20.889669, -66.692665, 32, conscience
143, -56.216129, 7.352177, 18, epilogue
144, -9.448646, -6.568642, 124, notes
145, -7.788572, -55.718796, 42, sources
146, -43.110653, 8.493795, 10, vi
147, -0.445521, -55.567505, 46, albert
148, -1.111388, -5.287050, 80, e
149, -41.044254, 40.520725, 16, mead
150, -1.259953, -3.416351, 172, george
151, -7.538149, -24.624144, 128, cotterill
152, -5.055749, -23.358004, 78, mark
153, -5.849411, -26.834551, 76, matthews
154, 0.123257, -3.900900, 292, john
155, 9.936121, -28.606455, 84, considine
156, -26.402775, -64.503082, 48, walter
